ds,name,civ,labor,emp,unemp
1976-11-01,Texas,9067000,5788621,5456390,332231
1976-11-01,Utah,847000,533597,504477,29120
1976-11-01,Vermont,346000,219725,202700,17025
1976-11-01,Virginia,3612000,2357368,2223244,134124
1976-11-01,Washington,2664000,1662926,1508919,154007
1976-11-01,Wisconsin,3286000,2164150,2046725,117425
1976-11-01,Wyoming,280000,185232,178305,6927
1976-12-01,Alabama,2659000,1525827,1416558,109269
1976-12-01,Alaska,245000,168729,153764,14965
1976-12-01,Arizona,1684000,1010968,916504,94464
1976-12-01,Arkansas,1561000,904128,844483,59645
1976-12-01,California,16029000,10096320,9157978,938342
1976-12-01,Colorado,1887000,1267965,1185243,82722
1976-12-01,Connecticut,2272000,1460013,1338214,121799
1976-12-01,Delaware,424000,266789,242278,24511
1976-12-01,Florida,6602000,3623116,3294008,329108
1976-12-01,Georgia,3597000,2308443,2120947,187496
1976-12-01,Hawaii,600000,413102,377652,35450
1976-12-01,Idaho,599000,382595,360070,22525
1976-12-01,Illinois,8226000,5176898,4851125,325773
1976-12-01,Indiana,3837000,2449493,2305881,143612
1976-12-01,Iowa,2095000,1359146,1304426,54720
1976-12-01,Kansas,1660000,1092638,1047167,45471
1976-12-01,Kentucky,2511000,1504306,1427009,77297
1976-12-01,Louisiana,2740000,1549828,1443275,106553
1976-12-01,Maine,781000,478753,435270,43483
1976-12-01,Maryland,3002000,1936427,1806057,130370
1976-12-01,Massachusetts,4231000,2734512,2491762,242750
1976-12-01,Michigan,6493000,4025914,3665132,360782
1976-12-01,Minnesota,2835000,1880772,1769888,110884
1976-12-01,Mississippi,1673000,980708,914229,66479
1976-12-01,Missouri,3509000,2159928,2019695,140233
1976-12-01,Montana,543000,340542,320032,20510
1976-12-01,Nebraska,1107000,725854,703293,22561
1976-12-01,Nevada,476000,338492,309309,29183
1976-12-01,Ohio,7766000,4765878,4408359,357519
1976-12-01,Oklahoma,2041000,1205019,1141451,63568
1976-12-01,Oregon,1766000,1126674,1021476,105198
1976-12-01,Pennsylvania,8841000,5165781,4747630,418151
1976-12-01,Tennessee,3148000,1902750,1779576,123174
1976-12-01,Texas,9091000,5808871,5473400,335471
1976-12-01,Utah,850000,535252,505850,29402
1976-12-01,Vermont,347000,220391,203518,16873
1976-12-01,Virginia,3620000,2362512,2229219,133293
1976-12-01,Washington,2671000,1670136,1513953,156183
1976-12-01,Wisconsin,3290000,2167060,2048919,118141
1976-12-01,Wyoming,281000,186275,179265,7010
1977-01-01,Alabama,2663000,1532500,1420756,111744
1977-01-01,Alaska,245000,169309,153861,15448
1977-01-01,Arizona,1690000,1016746,922388,94358
1977-01-01,Arkansas,1565000,907157,847017,60140
1977-01-01,California,16066000,10137699,9204162,933537
1977-01-01,Colorado,1892000,1273628,1189423,84205
1977-01-01,Connecticut,2274000,1462469,1343245,119224
1977-01-01,Delaware,425000,268020,243447,24573
1977-01-01,Florida,6619000,3630976,3302385,328591
1977-01-01,Georgia,3605000,2313375,2127069,186306
1977-01-01,Hawaii,601000,414171,379072,35099
1977-01-01,Idaho,601000,384586,361733,22853
1977-01-01,Illinois,8235000,5193912,4872374,321538
1977-01-01,Indiana,3842000,2450491,2307252,143239
1977-01-01,Iowa,2098000,1365628,1310500,55128
1977-01-01,Kansas,1662000,1095411,1049736,45675
1977-01-01,Kentucky,2516000,1510207,1433142,77065
1977-01-01,Louisiana,2745000,1554869,1448136,106733
1977-01-01,Maine,782000,479593,435759,43834
1977-01-01,Maryland,3006000,1942032,1812177,129855
1977-01-01,Massachusetts,4234000,2732019,2492531,239488
1977-01-01,Michigan,6501000,4037088,3678582,358506
1977-01-01,Minnesota,2839000,1886443,1775327,111116
1977-01-01,Mississippi,1676000,982678,914855,67823
1977-01-01,Missouri,3513000,2164323,2025636,138687
1977-01-01,Montana,544000,341955,321329,20626
1977-01-01,Nebraska,1108000,727894,705244,22650
1977-01-01,Nevada,478000,340562,311692,28870
1977-01-01,Ohio,7773000,4777884,4423399,354485
1977-01-01,Oklahoma,2045000,1210578,1146952,63626
1977-01-01,Oregon,1772000,1131002,1026636,104366
1977-01-01,Pennsylvania,8847000,5175278,4754499,420779
1977-01-01,Tennessee,3154000,1911947,1786806,125141
1977-01-01,Texas,9114000,5833413,5495729,337684
1977-01-01,Utah,852000,537210,507568,29642
1977-01-01,Vermont,348000,221382,204595,16787
1977-01-01,Virginia,3627000,2368354,2235660,132694
1977-01-01,Washington,2678000,1676060,1518686,157374
